personLabel,categoryLabel,year,age
Сюкуро Манабэ,Нобелевская премия по физике,2021,90
Кип Торн,Нобелевская премия по физике,2017,77
Дэвид Гросс,Нобелевская премия по физике,2004,63
Энрико Ферми,Нобелевская премия по физике,1938,37
Дейвид Уайнленд,Нобелевская премия по физике,2012,68
Антон Цайлингер,Нобелевская премия по физике,2022,77
Артур Ашкин,Нобелевская премия по физике,2018,96
Мишель Деворе,Нобелевская премия по физике,2025,72
Макс Планк,Нобелевская премия по физике,1918,60
Альберт Эйнштейн,Нобелевская премия по физике,1921,42
Ален Аспе,Нобелевская премия по физике,2022,75
Гульельмо Маркони,Нобелевская премия по физике,1909,35
Джон Холл,Нобелевская премия по физике,2005,71
Виктор Франц Гесс,Нобелевская премия по физике,1936,53
Джеймс Чедвик,Нобелевская премия по физике,1935,44
Джозеф Джон Томсон,Нобелевская премия по физике,1906,50
Андреа Гез,Нобелевская премия по физике,2020,55
Луи де Бройль,Нобелевская премия по физике,1929,37
Клаус фон Клитцинг,Нобелевская премия по физике,1985,42
Джим Пиблс,Нобелевская премия по физике,2019,84
Чандрасекхара Венката Раман,Нобелевская премия по физике,1930,42
Ханс Джордж Демелт,Нобелевская премия по физике,1989,67
Вольфганг Паули,Нобелевская премия по физике,1945,45
Павел Алексеевич Черенков,Нобелевская премия по физике,1958,54
Джон Уильям Стретт Рэлей,Нобелевская премия по физике,1904,62
Вернер Гейзенберг,Нобелевская премия по физике,1932,31
Эрвин Шрёдингер,Нобелевская премия по физике,1933,46
Антуан Анри Беккерель,Нобелевская премия по физике,1903,51
Александр Михайлович Прохоров,Нобелевская премия по физике,1964,48
Николай Геннадиевич Басов,Нобелевская премия по физике,1964,42
Ханнес Альфвен,Нобелевская премия по физике,1970,62
Йоханнес Штарк,Нобелевская премия по физике,1919,45
Мария Гёпперт-Майер,Нобелевская премия по физике,1963,57
Петер Грюнберг,Нобелевская премия по физике,2007,68
Джеффри Хинтон,Нобелевская премия по физике,2024,77
Брайан Шмидт,Нобелевская премия по физике,2011,44
Макото Кобаяси,Нобелевская премия по физике,2008,64
Макс Борн,Нобелевская премия по физике,1954,72
Джон Бардин,Нобелевская премия по физике,1956,48
Джон Бардин,Нобелевская премия по физике,1972,64
Ричард Филлипс Фейнман,Нобелевская премия по физике,1965,47
Хендрик Антон Лоренц,Нобелевская премия по физике,1902,49
Клиффорд Шалл,Нобелевская премия по физике,1994,79
Ричард Эдвард Тейлор,Нобелевская премия по физике,1990,61
Эрик Аллин Корнелл,Нобелевская премия по физике,2001,40
Мария Склодовская-Кюри,Нобелевская премия по физике,1903,36
Питер Зееман,Нобелевская премия по физике,1902,37
Жерар Муру,Нобелевская премия по физике,2018,74
Вольфганг Пауль,Нобелевская премия по физике,1989,76
Джон Кокрофт,Нобелевская премия по физике,1951,54
Хейке Камерлинг-Оннес,Нобелевская премия по физике,1913,60
Вальтер Боте,Нобелевская премия по физике,1954,63
Дуглас Ошеров,Нобелевская премия по физике,1996,51
Анн Л’Юилье,Нобелевская премия по физике,2023,65
Пьер Агостини,Нобелевская премия по физике,2023,82
Вильгельм Рентген,Нобелевская премия по физике,1901,56
Уиллард Бойл,Нобелевская премия по физике,2009,85
Даниел Цуи,Нобелевская премия по физике,1998,59
Мартинус Велтман,Нобелевская премия по физике,1999,68
Тосихидэ Масукава,Нобелевская премия по физике,2008,68
Райнхард Генцель,Нобелевская премия по физике,2020,68
